Report runtime: June 11th 242024, 4:42:22 pm,,,,,,The Port Authority of New York and New Jersey
User: aanantharajah,,,,,,,TRN-201 Transaction Research
 
Parameters for this report
Plazas: All,Lanes: All,Lane State: All,Special/Escort: All,Charged Class: All,Tag Class: All,Tag Agency: All,Tag: None,AVC Class: All,Speed: All,Mismatch Flag: All,Plan Type: All,Recon Type: All,Revenue Type: All,Plate State: All,Plate: None,Plate Type: All,Hide/Show Plate Data Column: Hide,Start Date: 06/11/2024,Start Time: 12:00 pm,End Date: 06/11/2024,End Time: 3:00 pm,Recon Code: All,Hot List Reason: All,Transaction Flag: All,Resolution: All,Single Tag Only: No,Flush Converted Only: No,Tag Protocols: All

Transaction Research
,,,,,,,Lane Config,,,,Transaction,,,,,,Tag,,,,,,Class,,,,Axles,,,,,,,,,,Revenue,,,,,,Hot List,,Processing,,,,,ATRN File,,,,,,,Reconciliation,,,,
Plaza,Lane,Trx Tmst,Tag Read Time,Total Image,Img,Vid,St,Md,Rstr,VTF,Veh Trx ID,Trx Flag,Strdl,SBR,SBRN,Spd,Number,S,D,P,TP,HS,AVC,Tag,IAG,Chg,AVC,Dual,Tag,Chg,AVCH,AVCW,AVCL,IDRISFW,IDRISRV,NVDCFW,Trx Type,AVC,NonRev,Exp,S,E,Flg,Reason,FC,CO,AE,AV,Resl,Conf,OverSpd,PlanChrg,EZPass,EZPass Dis1,EZPass Dis2,Video,Revenue,Agency,Plan,Recon Type,Recon Code
GWBL,12,06/11/2024 12:02:17.224,06/11/2024 11:51:00.055,0,x,x,O,E,N,Y,1547934588,Spur,N,Y,8,0,022-15785920,V, ,N,IAG,13, ,1,72, , ,N,2, ,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , 
BB,2,06/11/2024 12:02:56.005,06/11/2024 11:50:09.826,0,x,x,O,E,N,Y,1547934883,Spur,N,Y,8,0,022-10690347,V, ,N,IAG,1, ,3,527, , ,N,3, ,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , 
GB,4,06/11/2024 12:04:42.834,06/11/2024 11:56:16.585,0,x,x,O,E,N,Y,1547935712,Spur,N,Y,8,0,008-07190038,U, ,N,IAG,2, ,1,72, , ,N,2, ,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , 
GWBU,2,06/11/2024 12:04:57.808,06/11/2024 11:56:06.639,0,x,x,O,E,N,Y,1547935869,Spur,N,Y,8,0,064-14505785,I, ,N,SeGO,2, ,1,8, , ,N, , ,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,10,06/11/2024 12:08:34.646,06/11/2024 11:56:15.013,0,x,x,O,E,N,Y,1547937948,Spur,N,Y,8,0,008-14223935,V,C,N,IAG,47, ,1,72, , ,N,2, ,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,10,06/11/2024 12:08:34.646,06/11/2024 11:59:58.596,0,x,x,O,E,N,Y,1547937950,Spur,N,Y,8,0,005-02973187,V,C,N,IAG,1, ,1,72, , ,N,2, ,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , 
GWBU,2,06/11/2024 12:11:57.811,06/11/2024 11:59:54.527,0,x,x,O,E,N,Y,1547939517,Spur,N,Y,8,0,022-11302665,V, ,N,IAG,9, ,1,72, , ,N,2, ,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , 
GWBU,6,06/11/2024 12:18:57.809,06/11/2024 12:07:37.301,0,x,x,O,E,N,Y,1547943153,Spur,N,Y,8,0,022-13281827,V, ,N,IAG,38, ,8,331, , ,N,2, ,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , 
GWBU,4,06/11/2024 12:18:57.809,06/11/2024 12:11:05.804,0,x,x,O,E,N,Y,1547943154,Spur,N,Y,8,0,005-05010933,I, ,N,IAG,47, ,1,72, , ,N,2, ,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , 
